_id,mongoId,avettaId,mongoObject,field,formDisplayId,questionGroupType,uk_ua
68a4c5620100003f00aba18c,,179014,question,questionText,47192,form,"Позначте поле поряд із пунктом (пунктами), які ви надасте як підтвердження реєстрації юридичної особи в Україні. \n\nДля кожного позначеного пункту вас попросять надати реєстраційний номер та завантажити підтверджувальні документи у наступних питаннях. \n\nЯкщо ви залишите будь-які пункти непозначеними, будь ласка, також виберіть опцію: ""Компанія не зобов'язана надавати підтвердження для жодного з незазначених пунктів вище та надасть пояснення для кожного,"" на додаток до позначених вами пунктів."
68a4c5620100003f00aba18c,,179014,question,responseOption1,47192,form,ЄДРПОУ
68a4c5620100003f00aba18c,,179014,question,responseOption2,47192,form,Свідоцтво про реєстрацію платника ПДВ
68a4c5620100003f00aba18c,,179014,question,responseOption3,47192,form,Витяг з ЄДР
68a4c5620100003f00aba18c,,179014,question,responseOption4,47192,form,КВЕД
68a4c5620100003f00aba18c,,179014,question,responseOption5,47192,form,РНОКПП/ІПН
68a4c5620100003f00aba18c,,179014,question,responseOption6,47192,form,Номер реєстрації платника ПДВ
68a4c5620100003f00aba18c,,179014,question,responseOption7,47192,form,Компанія не зобов'язана надавати підтвердження для жодного з незазначених пунктів вище та надасть пояснення для кожного.
68a4ce210100002f010ab140,,179052,question,description,47192,form,"Дійсні винятки для коду ЄДРПОУ: Код ЄДРПОУ є обов'язковим для всіх резидентних юридичних осіб та організацій в Україні. Однак фізичні особи (включаючи ФОП) НЕ отримують код ЄДРПОУ. Вони реєструються індивідуально в Державній податковій службі та ідентифікуються за РНОКПП (особистий номер платника податків). [Наказ № 499, Державна служба статистики України](https://zakon.rada.gov.ua/laws/show/499-95-%D0%BF) \n\n<br/>\n\nДійсні винятки для РНОКПП/ІПН: Юридичні особи використовують ЄДРПОУ як свій офіційний ідентифікаційний номер платника податків; лише фізичні особи та ФОП потребують РНОКПП. Іноземні юридичні особи без постійного представництва можуть не мати РНОКПП, якщо це не вимагається конкретними операціями. [Податковий кодекс України, стаття 70](https://zakon.rada.gov.ua/laws/show/2755-17)\n\n<br/>\n\nДійсні винятки для КВЕД: Суб'єкти господарювання в Україні повинні бути зареєстровані та мати принаймні один код КВЕД, за винятком іноземних представництв, що не здійснюють безпосередньо господарської діяльності в Україні (наприклад, суто представницькі офіси). [Постанова Кабінету Міністрів № 1439 (2010), стаття 4](https://zakon.rada.gov.ua/laws/show/1439-2010-%D0%BF ), [Закон про державну реєстрацію № 755-IV.](https://zakon.rada.gov.ua/laws/show/755-15) \n\n<br/>\n\nДійсний виняток для витягу з ЄДР: Хоча майже вся господарська діяльність потребує державної реєстрації, іноземні компанії без постійного представництва та нерезидентні представництва можуть бути звільнені від реєстрації в ЄДР (і, відповідно, не отримують витягів з ЄДР). Реєстрація в ЄДР є обов'язковою лише для суб'єктів, які провадять господарську діяльність на території України. [Закон України “Про державну реєстрацію юридичних осіб, фізичних осіб-підприємців та громадських формувань,” № 755-IV, статті 2, 4.](https://zakon.rada.gov.ua/laws/show/755-15)\n\n<br/>\n\nДійсні винятки для номера та свідоцтва реєстрації платника ПДВ: Не всі компанії є платниками ПДВ: компанії та ФОП, річний обсяг оподатковуваних постачань яких НЕ перевищує 1 000 000 грн, не зобов'язані реєструватися платниками ПДВ і, відповідно, не отримують номера чи свідоцтва про реєстрацію платника ПДВ. Певні суб'єкти (наприклад, неприбуткові організації, громадські організації, сільськогосподарські виробники та платники єдиного податку) також можуть бути звільнені від вимог реєстрації платника ПДВ відповідно до статей 181 та 183 [Податкового кодексу України](https://tax.gov.ua/en/new-about-taxes--hotlines-/print-785260.html). Під час воєнного стану додаткові винятки застосовуються до громадських та благодійних організацій. [Податковий кодекс України, статті 181, 183, 197](https://tax.gov.ua/en/new-about-taxes--news-/858814.html)."
68a4ce210100002f010ab140,,179052,question,questionText,47192,form,"Для незазначених пунктів вкажіть причини, через які ця інформація відсутня."
68a4cfc0010000da01aba273,,179053,question,questionText,47192,form,"Будь ласка, надайте код ЄДРПОУ вашої компанії."
68a4cfd8010000cc010ab150,,179054,question,questionText,47192,form,"Будь ласка, надайте РНОКПП вашої компанії (реєстраційний номер облікової картки платника податків)."
68a4cfe501000024040ab156,,179055,question,questionText,47192,form,"Будь ласка, надайте код КВЕД (вид економічної діяльності) вашої компанії."
68a4cff0010000d701aba277,,179056,question,questionText,47192,form,"Будь ласка, завантажте виписку з ЄДР вашої компанії."
68a4cfff0100002f010ab159,,179057,question,questionText,47192,form,"Будь ласка, надайте номер реєстрації платника ПДВ вашої компанії."
68a4d00c010000ce010ab15c,,179058,question,questionText,47192,form,"Будь ласка, завантажте свідоцтво про реєстрацію платника ПДВ вашої компанії."
