#,Term,Form IDs,Full Form / Meaning,Category,Why Confusing for International Users,Localization Recommendation
1,QA/QC,40082,Quality Assurance / Quality Control,Organizational,Standard abbreviation with different meanings across industries and ISO vs construction contexts.,Define as Quality Assurance / Quality Control on first use; check industry-specific definitions in target language.
28,Accident insurance institution,51170,Workers' compensation body responsible for occupational injury/illness coverage (AUVA in Austria),Organizational,Each country has a different system: AUVA (Austria) / DGUV (Germany) / HSE+insurers (UK) / OSHA+state funds (US).,Identify specific organization for target country and explain coverage and reporting structure.
29,Radiation Protection Ordinance,51171,Austrian regulation implementing EU Directive 2013/59/EURATOM on ionizing radiation protection,Regulatory,Austrian-specific; EU / US (NRC) / and other countries have different regulatory frameworks and dose limits.,Clarify this is an Austrian regulation implementing EU law; reference equivalent regulation in target country.
30,Roof pitch / slope degrees,"51184, 51160",Angles (20° / 45° / 75°) triggering specific fall protection requirements under Austrian regulations,Technical,Austria-specific thresholds from Construction Workers Protection Ordinance; thresholds differ internationally (e.g. >7° or >15° in other systems).,State angle thresholds and corresponding safety measures explicitly per Austrian standard; note international differences.
31,Demarcation / restricted area,Multiple forms,Physical or administrative boundary limiting unauthorized access to hazard zones (noise / radiation / ATEX / chemical),Administrative,Signage colors and symbols and boundary marking requirements vary by country standard and hazard type.,Specify marking requirements (colors / symbols / distances) per target country standard; provide examples.
32,Hazard assessment / Risk assessment,Multiple forms,Systematic documented evaluation of workplace hazards and development of control measures,Procedural,Documentation requirements / assessment frequency / required detail level vary significantly by country and industry sector.,Clarify what must be documented and when reassessment is required per local regulations in target country.
33,Occupational health examination / Medical surveillance,"51163, 51165, 51171, 51180",Pre-employment and periodic health assessment for workers exposed to specific occupational hazards,Medical,Timing requirements / examination components / and record retention durations vary by country and hazard type.,Specify examination frequency and which hazards trigger mandatory medical surveillance in target country.
34,Construction Workers Protection Ordinance,Multiple Austrian forms,Austrian legal regulation (10008904) governing construction site safety and worker protection,Regulatory,Austrian-specific legislation; similar instruments exist in all countries but with different titles / scope / and requirements.,Identify equivalent construction safety regulation in target country and note significant differences from Austrian standard.
35,Workplace Ordinance,Multiple Austrian forms,Austrian legal instrument (10009098) governing workplace design equipment and environmental conditions,Regulatory,Austrian-specific; broadly similar to OSHA General Duty Clause or other countries workplace standards but with different specifics.,Reference equivalent workplace safety standard in target country.
36,Employee Protection Act,Multiple Austrian forms,Austrian primary occupational safety and health legislation (10008910),Regulatory,Austrian foundational OH&S law; equivalent to OSHA Act (US) / Health and Safety at Work Act (UK) / but differs in scope and requirements.,Identify primary OH&S legislation in target country and note major structural differences.
37,Work Equipment Ordinance,Multiple Austrian forms,Austrian legal instrument (20000727) governing safe provision and use of work equipment; implements EU Machinery Directive,Regulatory,Austrian-specific; implements EU Directive 2006/42/EC; non-EU countries have different machinery safety frameworks.,Note this implements EU Machinery Directive; identify equivalent machinery safety regulation in non-EU target countries.
38,Explosive Atmospheres Ordinance,"51158, 51152",Austrian legal instrument implementing EU ATEX Directive (2014/34/EU) for explosive atmosphere safety,Regulatory,EU-specific; non-EU countries use different frameworks: US (NFPA 70E / OSHA) / Australia (different AS standards).,Clarify ATEX applicability; reference equivalent explosive atmosphere safety framework in target jurisdiction.
39,Heat Protection Ordinance (Heat-V),51166,Austrian 2026 regulation on occupational heat stress and UV radiation protection,Regulatory,Newly adopted Austrian regulation; EU has no unified heat protection directive; US OSHA has no specific heat standard yet.,Explain this is a new Austrian regulation; identify heat stress management guidance for target country.
40,Electrical Safety Ordinance,51154,Austrian legal instrument implementing EU Low Voltage Directive (2014/35/EU),Regulatory,EU-specific; non-EU countries have different electrical safety standards: US (NFPA 70/NEC) / Australia (AS/NZS 3000).,Identify electrical safety standard applicable in target country.
41,Dangerous Goods Transport Act,51182,Austrian regulation implementing ADR (European Agreement on International Carriage of Dangerous Goods by Road),Regulatory,ADR is multilateral European agreement; non-European countries follow different systems: US (DOT HazMat) / Australia (ADG Code).,Note ADR scope; identify equivalent dangerous goods transport regulation for target country.
42,VOLV,"51176, 51187",Austrian Noise and Vibration Regulation (BGBl. II 2006/22) transposing EU Noise/Vibration Directives,Regulatory,Austrian/EU regulation; non-EU countries have different occupational noise/vibration exposure limits and measurement standards.,Specify limits (85 dBA action level / 5 m/s² hand-arm vibration) and note these derive from EU Directives.
43,General Social Insurance Act,51170,Austrian legal framework (ASVG) governing occupational accident insurance and reporting to AUVA,Regulatory,Austrian workers' compensation system; each country has a different system for occupational accident insurance and reporting.,Reference occupational accident insurance system and reporting requirements in target country.
44,Compressed Air and Diving Work Ordinance,"51168, 51169",Austrian legal instrument (10008298) governing hyperbaric work / diving / and pressurized air operations,Regulatory,Austrian-specific; diving safety requirements vary by member state and internationally (IANTD / PADI / EN 14153 standards differ).,Identify international or national diving safety standards applicable in target country.
45,HSE approval (Linxon-specific),40082,Linxon internal vendor management system designation confirming supplier meets safety capability and sustainability requirements,Organizational,Specific to Linxon's procurement system; may be mistaken for a governmental certification if not clearly labeled.,Clarify explicitly that HSE approval is Linxon's internal certification — not a governmental or third-party certification.
46,Geosphere heat alert,51166,Austrian meteorological authority (GeoSphere Austria) heat warning levels used in the Heat Protection Ordinance,Organizational,GeoSphere Austria is the national meteorological service; other countries use different heat alert systems and thresholds.,Explain GeoSphere Austria as Austria's meteorological authority; identify equivalent service for target country.
47,Radiation Protection Register,51171,Official register maintained by radiation protection authority listing authorized radiation workers and their dose history,Regulatory,Structure / maintenance / and reporting requirements vary by national radiation protection authority and legislation.,Identify equivalent register or dose record system in target country and explain enrollment requirements.

# NOTE: The following 13 terms were excluded because they already exist in AvettaGlossary.xlsx (col M de_de / col AA en_us):
# HSE | PPE | AUVA | EMF | CLP | REACH | Shoring | Oxygen deficiency | Guardrails | Occupational disease | Dosimeter | Competent person | ADR
